Address,Time,Current Speed,FreeFlow Speed,Jam Factor,Confidence
7th Cross Road/5th Main Road,2019-10-26T02:47:12Z,7.0,20.0,6.85714,0.7
Bugle Road/Mount Joy Road,2019-10-26T02:47:12Z,8.0,19.0,5.72932,0.7
Ramanjaya Road/N A T Road,2019-10-26T02:47:12Z,11.0,24.0,5.66666,0.7
Hayavadawana Road/Gandhi Bazar Road,2019-10-26T02:47:12Z,10.0,22.0,5.55844,0.7
Appu Rao Road,2019-10-26T02:47:12Z,13.0,26.0,5.20879,0.7
5th Main Road,2019-10-26T02:47:12Z,11.0,20.0,4.0,0.7
Kanakapura Main Road,2019-10-26T02:47:58Z,13.0,34.0,7.27731,0.7
South Cross Road,2019-10-26T02:47:58Z,8.0,16.0,4.17857,0.7
K R Road/Sri Krishna Rajendra Road/Mallika Arjuna Temple Road,2019-10-26T02:47:58Z,8.0,22.0,6.85714,0.7
K R Road/Sri Krishna Rajendra Road/Mallika Arjuna Temple Road,2019-10-26T02:47:55Z,12.0,27.0,6.06349,0.7
South Cross Road,2019-10-26T02:47:55Z,11.0,24.0,5.66666,0.7
Kanakapura Main Road,2019-10-26T02:47:55Z,11.0,22.0,4.90909,0.7
S Sajjan Rao Circle,2019-10-26T02:48:06Z,8.0,14.0,2.85714,0.7
S Sajjan Rao Circle,2019-10-26T02:48:06Z,13.0,23.0,4.06211,0.7
Lalbagh Fort Road/Rashtriya Vidyalaya Road/Minarva Circle,2019-10-26T02:48:06Z,16.0,31.0,5.24423,0.7
Basavangudi,2019-10-26T02:48:06Z,14.0,26.0,4.65934,0.7
4th Main Road,2019-10-26T02:48:06Z,15.0,27.0,4.47619,0.7
9th Main Road/22nd Main Road,2019-10-26T02:48:06Z,12.0,24.0,5.07142,0.7
4th Main Road,2019-10-26T02:48:06Z,12.0,24.0,5.07142,0.7
Basavangudi,2019-10-26T02:48:06Z,17.0,29.0,4.14778,0.7
Bull Temple Road/Ramkrishna Circle,2019-10-26T02:47:43Z,8.0,18.0,5.26984,0.7
K R Road/Sri Krishna Rajendra Road,2019-10-26T02:47:43Z,9.0,20.0,5.42857,0.7
Bull Temple Road/Ramkrishna Circle,2019-10-26T02:47:25Z,9.0,19.0,4.97744,0.7
J. C. Road/Jayachamaraja Wodeyar Road,2019-10-26T02:48:04Z,13.0,28.0,5.83673,0.7
Lal Bagh Road/Lal Bagh Main Road,2019-10-26T02:48:04Z,13.0,27.0,5.53439,0.7
Bull Temple Road,2019-10-26T02:48:06Z,8.0,14.0,2.85714,0.7
3rd Main Road,2019-10-26T02:48:06Z,12.0,22.0,4.25974,0.7
3rd Main Road,2019-10-26T02:48:06Z,12.0,30.0,6.85714,0.7
Bull Temple Road,2019-10-26T02:48:06Z,12.0,26.0,5.75824,0.7
Lalbagh Fort Road/Minarva Circle/Lal Bagh Road,2019-10-26T02:47:57Z,22.0,35.0,3.80952,0.7
Arumugam Mudaliar Road/H Siddaiah Road,2019-10-26T02:47:57Z,21.0,36.0,4.47619,0.7
Sri Narasimharaja Road/N. R. Road,2019-10-26T02:47:57Z,20.0,37.0,5.11969,0.7
Av Road/Sri Jayachamaraja Odeiar Road/Albert Victor Road,2019-10-26T02:48:06Z,6.0,16.0,5.96428,0.7
4th Main Road,2019-10-26T02:47:14Z,7.0,10.0,0.0,0.7
Basavangudi/Devan N Madhava Road/Old Veterniry Hospital Road,2019-10-26T02:47:14Z,13.0,21.0,3.1746,0.7
Shri Bp Wadia Road,2019-10-26T02:47:14Z,14.0,28.0,5.32653,0.7
Vanivilas Road,2019-10-26T02:47:14Z,13.0,26.0,5.20879,0.7
S Sajjan Rao Circle,2019-10-26T02:47:14Z,11.0,23.0,5.30434,0.7
S Sajjan Rao Circle,2019-10-26T02:47:55Z,9.0,16.0,3.33333,0.7
Vanivilas Road,2019-10-26T02:47:55Z,9.0,15.0,2.66666,0.7
Shri Bp Wadia Road,2019-10-26T02:47:55Z,12.0,22.0,4.25974,0.7
Basavangudi/Devan N Madhava Road/Old Veterniry Hospital Road,2019-10-26T02:47:55Z,13.0,30.0,6.38095,0.7
4th Main Road,2019-10-26T02:47:55Z,13.0,21.0,3.1746,0.7
K R Road/Sri Krishna Rajendra Road,2019-10-26T02:47:31Z,9.0,22.0,6.20779,0.7
Church Road/Kanakapura Main Road,2019-10-26T02:47:31Z,12.0,24.0,5.07142,0.7
Rashtriya Vidyalaya Road,2019-10-26T02:47:31Z,9.0,19.0,4.97744,0.7
100 Feet Road/3rd Cross Road/Siddapura Road,2019-10-26T02:47:31Z,15.0,27.0,4.47619,0.7
Rashtriya Vidyalaya Road,2019-10-26T02:47:53Z,14.0,25.0,4.28571,0.7
Church Road/Kanakapura Main Road,2019-10-26T02:47:53Z,10.0,20.0,4.71428,0.7
